ticker,name,price,pct_change,p1,p2,p3,p4,p5,p6,total,zero_flag,rsi,vol_ratio,ma20,ma60,ma120,ma200,bb_position,fcf_yield,ret_60d
AVGO,Broadcom Inc.,389.2799987792969,0.37,30.0,20.5,8.0,12.5,11.5,5.0,87.5,False,51.498563113690544,0.9,384.72999877929686,399.57052256266275,374.3522343953451,364.8947802734375,0.6184,0.0147,-8.35
GOOGL,Alphabet Inc.,356.1300048828125,6.73,30.0,20.5,8.0,12.5,11.5,5.0,87.5,False,54.30927955712867,1.54,348.05399932861326,364.8283981323242,340.81898803710936,325.9764559173584,0.629,0.0052,-10.48
CSCO,"Cisco Systems, Inc.",115.98999786376953,2.14,28.5,14.5,9.5,12.5,16.5,5.0,86.5,False,53.016283394492135,0.91,114.15599975585937,115.23990961710612,98.31072839101155,88.86939716339111,0.6533,0.0203,27.04
TXN,Texas Instruments Incorporated,275.739990234375,-1.08,30.0,17.0,9.0,12.5,11.5,5.0,85.0,False,41.80677137808118,1.09,290.7534973144531,298.0499994913737,257.4562858581543,225.3388102722168,0.1874,0.0141,-4.73
ASML,ASML Holding N.V. - New York Re,1629.0,-1.36,30.0,14.5,7.0,12.5,15.5,5.0,84.5,False,42.673178446145826,0.79,1736.3586181640626,1712.8543436686198,1557.0207427978517,1387.8149877929689,0.1649,0.0135,5.59
NVDA,NVIDIA Corporation,200.75,2.93,30.0,20.5,8.0,12.5,8.5,5.0,84.5,False,48.305017552739734,1.09,203.2964973449707,208.46989669799805,197.89003257751466,192.92799629211424,0.4023,0.0095,-3.29
GOOG,Alphabet Inc.,356.6499938964844,6.88,30.0,20.5,5.0,12.5,11.5,5.0,84.5,False,55.210617279641475,1.51,346.9399978637695,362.5955184936523,339.12705001831057,325.21167404174804,0.6622,0.0052,-9.69
MU,"Micron Technology, Inc.",823.030029296875,-5.9,30.0,19.0,6.0,12.5,11.5,5.0,84.0,False,43.581928514613516,1.14,911.6880065917969,925.7173665364584,677.199547068278,517.9365456390381,0.1836,0.0082,23.49
AMAT,"Applied Materials, Inc.",507.6700134277344,1.18,30.0,17.0,7.0,12.5,12.5,5.0,84.0,False,45.291515373282266,0.84,546.6259963989257,524.2865178426107,445.6872202555339,372.96121017456056,0.2735,0.0075,18.59
TER,"Teradyne, Inc.",367.69000244140625,0.6,30.0,15.5,7.0,12.5,13.5,5.0,83.5,False,51.13848894986368,0.96,349.3304977416992,375.71050415039065,351.81339975992836,289.2736167907715,0.7355,0.0076,-3.83
ADI,"Analog Devices, Inc.",367.4100036621094,0.2,30.0,17.5,8.5,12.5,9.5,5.0,83.0,False,42.60099157147744,0.89,379.36949920654297,400.86341705322263,371.844150797526,329.9801012420654,0.2317,0.0216,-11.36
AAPL,Apple Inc.,308.9100036621094,-7.35,25.5,14.5,7.0,12.5,18.5,5.0,83.0,False,43.24595018161875,2.39,324.3669998168945,307.0673461914063,284.6800109863281,277.6612738800049,0.1164,0.0236,7.54
STX,Seagate Technology Holdings PLC,856.1300048828125,0.52,30.0,17.5,7.5,12.5,10.5,5.0,83.0,False,50.07373303367118,1.1,843.0364990234375,872.7961558024089,668.162195332845,517.5533818054199,0.5627,0.0102,8.94
WDC,Western Digital Corporation,544.8400268554688,2.21,30.0,17.5,5.5,12.5,12.0,5.0,82.5,False,51.019699201818945,1.29,528.4585021972656,547.8889490763346,432.3351765950521,331.71414150238036,0.6021,0.011,12.8
AMD,"Advanced Micro Devices, Inc.",476.1499938964844,-1.9,28.5,17.0,6.5,12.5,12.5,5.0,82.0,False,45.18327005461635,0.91,515.059001159668,499.2806676228841,367.37883377075195,311.8234501647949,0.2219,0.0092,13.0
ROST,"Ross Stores, Inc.",251.07000732421875,-0.59,30.0,10.0,10.0,12.5,14.0,5.0,81.5,False,69.68938388742204,0.69,232.53350219726562,227.16216532389322,220.01866772969564,201.86116958618163,0.8543,0.0254,9.9
BKNG,Booking Holdings Inc. Common St,192.89999389648438,-0.18,29.5,16.0,8.5,12.5,10.0,5.0,81.5,False,60.064058097630394,0.78,182.5729995727539,172.24621302286783,172.22305959065756,184.76596290588378,0.8144,0.0473,14.89
AMZN,"Amazon.com, Inc.",271.5799865722656,15.32,28.5,17.0,6.0,12.5,12.0,5.0,81.0,False,67.87878504492653,2.77,243.857999420166,250.1798334757487,236.87816670735677,235.01220001220702,1.1813,0.0078,-1.24
MSFT,Microsoft Corporation,464.7200012207031,3.02,30.0,18.5,6.5,12.5,8.0,5.0,80.5,False,74.51914453563953,1.57,396.8660003662109,401.8029276529948,399.2501411437988,432.25600494384764,1.2775,0.0047,12.51
VRTX,Vertex Pharmaceuticals Incorpor,477.1000061035156,-0.95,28.0,11.5,9.0,12.5,13.5,5.0,79.5,False,48.181898910092514,0.65,486.7260009765625,463.2056666056315,459.0961664835612,452.9345999145508,0.3403,0.023,11.56
DXCM,"DexCom, Inc.",83.44999694824219,11.95,26.5,14.0,7.0,12.5,14.0,5.0,79.0,False,68.55015409918562,2.43,74.55300025939941,71.15083351135254,68.6517500559489,67.74630002975464,1.2941,,38.25
DDOG,"Datadog, Inc.",267.9700012207031,-0.22,26.0,13.0,8.0,12.5,14.0,5.0,78.5,False,61.38847625594592,1.24,258.7365013122559,236.97816721598306,179.86295852661132,167.2606002807617,0.7917,0.0098,86.47
EA,Electronic Arts Inc.,209.86000061035156,0.13,26.5,15.5,7.5,12.5,11.5,5.0,78.5,False,79.20292105266178,1.88,207.857999420166,204.19571940104166,202.82105700174967,202.49537330627442,0.8129,0.0419,4.62
MPWR,"Monolithic Power Systems, Inc.",1426.030029296875,8.35,30.0,13.0,5.5,12.5,12.0,5.0,78.0,False,54.62431861181637,1.65,1337.6475158691405,1467.651914469401,1352.7493459065756,1207.6033218383789,0.9782,,-13.57
NXPI,NXP Semiconductors N.V.,229.16000366210938,-6.53,30.0,17.5,6.0,12.5,6.5,5.0,77.5,False,29.040283531395772,1.48,270.32400131225586,291.20422236124676,255.18460858662922,239.88915763854982,-0.1355,0.0615,-24.25
ARM,Arm Holdings plc,239.69000244140625,-0.77,29.5,14.5,4.5,12.5,11.5,5.0,77.5,False,37.512216379651576,1.14,278.17600021362307,306.8974993387858,227.6849583943685,189.87507503509522,0.1661,0.0052,1.01
LRCX,Lam Research Corporation,293.0199890136719,-1.58,30.0,14.5,6.0,12.5,9.5,5.0,77.5,False,43.56193663839722,1.07,316.8019989013672,329.7229476928711,283.5882124582926,240.79028732299804,0.2773,0.0089,-1.33
GILD,"Gilead Sciences, Inc.",130.2100067138672,-0.82,30.0,11.5,7.5,12.5,11.0,5.0,77.5,False,48.6412314858902,0.93,132.1620002746582,129.81340446472169,135.144140625,130.50201637268066,0.2944,0.0491,-3.84
ADSK,"Autodesk, Inc.",234.1999969482422,-0.33,30.0,17.5,8.5,12.5,3.0,5.0,76.5,False,61.20447445967801,0.88,216.53449935913085,219.8833335876465,229.92350006103516,253.8366497039795,0.8574,0.0619,-3.65
MNST,Monster Beverage Corporation,96.37999725341797,-1.3,25.5,8.5,8.0,12.5,17.0,5.0,76.5,False,53.087153491745305,0.69,96.5215000152588,91.98816655476888,84.6548334121704,80.59280017852784,0.4779,0.0179,24.84
ABNB,"Airbnb, Inc.",151.52000427246094,-0.37,20.5,14.0,9.0,12.5,15.5,5.0,76.5,False,59.7237896196878,0.69,146.7140007019043,140.31550064086915,135.95100008646648,132.54687496185304,0.7884,0.0355,8.32
MDLZ,"Mondelez International, Inc.",62.310001373291016,-1.22,23.0,12.5,9.0,12.5,14.5,5.0,76.5,False,54.97501157410608,0.84,60.54449996948242,60.775282796223955,59.25186751683553,57.786363983154295,0.7646,0.0283,1.56
SBUX,Starbucks Corporation,105.25,-0.57,20.5,14.0,6.5,12.5,17.0,5.0,75.5,False,54.430820404568344,1.61,104.80900001525879,102.88210372924804,99.68118648529052,94.19002197265625,0.5702,0.0255,-0.54
PAYX,"Paychex, Inc.",116.83999633789062,0.44,24.0,13.0,7.0,12.5,13.5,5.0,75.0,False,62.990226606191506,1.01,111.33809204101563,101.13455556233724,95.83229192097981,101.09107376098633,0.7849,,30.85
FTNT,"Fortinet, Inc.",161.9499969482422,4.99,29.0,8.5,7.0,12.5,12.5,5.0,74.5,False,60.12076451304473,1.11,158.1259994506836,144.02233289082844,113.24283294677734,100.54404991149903,0.6991,0.0191,80.04
ALAB,"Astera Labs, Inc.",311.2300109863281,3.85,30.0,11.5,4.5,12.5,10.5,5.0,74.0,False,46.33011156219337,1.18,335.9377494812012,332.11108245849607,237.79437465667723,207.5779748916626,0.3811,0.0045,45.5
CSX,CSX Corporation,50.400001525878906,0.42,23.0,11.5,8.0,12.5,14.0,5.0,74.0,False,54.508949931491,1.15,50.26699981689453,47.61468423207601,44.64302676518758,41.13460636138916,0.5267,0.0209,10.87
ROP,"Roper Technologies, Inc.",391.9700012207031,0.7,27.0,13.0,8.0,12.5,8.0,5.0,73.5,False,62.875922133448405,0.82,365.1974395751953,342.78625844319663,346.1286661783854,381.95549911499023,0.8779,0.0584,12.19
HON,Honeywell International Inc.,243.0500030517578,0.47,26.0,7.0,8.0,12.5,14.5,5.0,73.0,False,58.959918981839415,0.92,232.14399948120118,232.5738098144531,236.5880978902181,225.8729362487793,0.7864,0.0339,7.45
